store_id,name,address,city,latitude,longitude,phone,working_hours
2835,"г. Тобольск, мкр. 15, д. 21","г. Тобольск, мкр. 15, д. 21",,,,,
0135,"г.  Тобольск, мкр-н 15, д. 21","г.  Тобольск, мкр-н 15, д. 21",,,,,
0060,"ул. Громовой, д. 25А","ул. Громовой, д. 25А",,,,,
0052,"ш. Южное, д. 4","ш. Южное, д. 4",,,,,
0096,"ул. Елизаровых, д. 13","ул. Елизаровых, д. 13",,,,,
2541,"ул. Елизаровых, д. 13","ул. Елизаровых, д. 13",,,,,
0853,"ул. Красноармейская, д. 44","ул. Красноармейская, д. 44",,,,,
0088,"пр. Мира, д. 30","пр. Мира, д. 30",,,,,
2638,"пр. Мира, д. 30","пр. Мира, д. 30",,,,,
4026,"ул. Нахимова, д. 8, стр. 13","ул. Нахимова, д. 8, стр. 13",,,,,
0099,"ул. Пушкина, д. 59","ул. Пушкина, д. 59",,,,,
2542,"ул. Пушкина, д. 59","ул. Пушкина, д. 59",,,,,
4025,"п. Зональная Станция, ул. Тихая, д. 109","п. Зональная Станция, ул. Тихая, д. 109",,,,,
0865,"дер. Кисловка, ул. В. Кандинского, д. 1","дер. Кисловка, ул. В. Кандинского, д. 1",,,,,
1406,"г. Тула, ул. Металлургов, д. 62, лит. А","г. Тула, ул. Металлургов, д. 62, лит. А",,,,,
1405,"г. Тула, ул. Путейская, д. 5","г. Тула, ул. Путейская, д. 5",,,,,
0209,"ул. Алебашевская, д. 19","ул. Алебашевская, д. 19",,,,,
0964,"ул. Лесопарковая, д. 1, к. 1","ул. Лесопарковая, д. 1, к. 1",,,,,
2643,"ул. Мельникайте, д. 139","ул. Мельникайте, д. 139",,,,,
0091,"ул. Мельникайте, д. 139","ул. Мельникайте, д. 139",,,,,
2696,"ул. Народная, д. 76","ул. Народная, д. 76",,,,,
0245,"ул. Народная, д. 76","ул. Народная, д. 76",,,,,
0094,"ул. Республики, д. 291","ул. Республики, д. 291",,,,,
2649,"ул. Республики, д. 291","ул. Республики, д. 291",,,,,
0146,"Тобольский тракт, д. 101","Тобольский тракт, д. 101",,,,,
2692,"Тобольский тракт, д. 101","Тобольский тракт, д. 101",,,,,
2733,"пр. Олимпийский, д. 6","пр. Олимпийский, д. 6",,,,,
0037,"пр. Олимпийский, д. 6","пр. Олимпийский, д. 6",,,,,
0036,"пр. Созидателей, д. 112","пр. Созидателей, д. 112",,,,,
2732,"пр. Созидателей, д. 112","пр. Созидателей, д. 112",,,,,
0200,"ул. Бакалинская, д. 27","ул. Бакалинская, д. 27",,,,,
0057,"ул. Бельская, д. 70","ул. Бельская, д. 70",,,,,
2737,"ул. Бельская, д. 70","ул. Бельская, д. 70",,,,,
0202,"ул. Пархоменко, д. 156","ул. Пархоменко, д. 156",,,,,
0030,"ул. Сипайловская, д. 1","ул. Сипайловская, д. 1",,,,,
0225,"ул. Ферина, 29","ул. Ферина, 29",,,,,
2645,"ул. Объездная, д. 9","ул. Объездная, д. 9",,,,,
0100,"ул. Объездная, д. 9","ул. Объездная, д. 9",,,,,
2736,"пр. Тракторостроителей, д. 76","пр. Тракторостроителей, д. 76",,,,,
0056,"пр. Тракторостроителей, д. 76","пр. Тракторостроителей, д. 76",,,,,
2651,"ул. Академика Сахарова, д. 15","ул. Академика Сахарова, д. 15",,,,,
0184,"ул. Академика Сахарова, д. 15","ул. Академика Сахарова, д. 15",,,,,
0301,"ул. Артиллерийская, д. 136","ул. Артиллерийская, д. 136",,,,,
2648,"ул. Блюхера, д. 126","ул. Блюхера, д. 126",,,,,
0069,"ул. Блюхера, д. 126","ул. Блюхера, д. 126",,,,,
2650,"ул. Братьев Кашириных, д. 75","ул. Братьев Кашириных, д. 75",,,,,
0154,"ул. Братьев Кашириных, д. 75","ул. Братьев Кашириных, д. 75",,,,,
0213,"ш. Копейское, д. 64","ш. Копейское, д. 64",,,,,
0212,"ул. Черкасская, д. 23","ул. Черкасская, д. 23",,,,,
2699,"ул. Черкасская, д. 23","ул. Черкасская, д. 23",,,,,
0021,"ул. Годовикова, д. 37","ул. Годовикова, д. 37",,,,,
0242,"ш. Кирилловское, д. 50А","ш. Кирилловское, д. 50А",,,,,
0024,"пр. Шекснинский, д. 2","пр. Шекснинский, д. 2",,,,,
2548,"пр. Шекснинский, д. 2","пр. Шекснинский, д. 2",,,,,
0279,"ул. Ленина, д. 387, лит. Ж","ул. Ленина, д. 387, лит. Ж",,,,,
0068,"пр. Александровск-Грушевский, д. 13","пр. Александровск-Грушевский, д. 13",,,,,
2743,"ул. Красноярская, д. 5, лит. Б","ул. Красноярская, д. 5, лит. Б",,,,,
0158,"г.  Энгельс, ул. Красноярская, д. 5, лит. Б","г.  Энгельс, ул. Красноярская, д. 5, лит. Б",,,,,
0156,"г.  Энгельс, пр. Химиков, д. 1","г.  Энгельс, пр. Химиков, д. 1",,,,,
0098,"ул. Волгоградская, д. 29","ул. Волгоградская, д. 29",,,,,
0119,"пр. Авиаторов, д. 149","пр. Авиаторов, д. 149",,,,,
0131,"пр. Ленинградский, д. 54А","пр. Ленинградский, д. 54А",,,,,
0303,"пр. Московский, д. 108","пр. Московский, д. 108",,,,,
0118,"ш. Тутаевское, д. 1","ш. Тутаевское, д. 1",,,,,
2813,"ш. Тутаевское, д. 1","ш. Тутаевское, д. 1",,,,,
0127,"пр. Фрунзе, д. 56, лит. Д","пр. Фрунзе, д. 56, лит. Д",,,,,
